column,kind,missing_rate,flag_high_missing,flag_near_constant,corr,auc,rank_metric,cramers_v,fraud_rate_spread
V47,numeric,0.2861262573238053,False,False,0.1641140634350231,0.5460820673474482,0.5460820673474482,,
V221,numeric,0.7605310393876791,False,False,0.13254518577822677,0.5457957439076316,0.5457957439076316,,
V248,numeric,0.7791343516103905,False,False,0.0785177667673555,0.5457554078024832,0.5457554078024832,,
V56,numeric,0.13055169844549055,False,False,0.061356147942770146,0.5455812405984137,0.5455812405984137,,
V183,numeric,0.763553696616656,False,False,-0.0006530800985977189,0.5451930643796378,0.5451930643796378,,
V216,numeric,0.763553696616656,False,False,-0.0006118973117611275,0.5451557614279868,0.5451557614279868,,
V82,numeric,0.15098723202492634,False,False,0.05111466657016953,0.5446271666731051,0.5446271666731051,,
V185,numeric,0.7632353439225116,False,False,0.10924541325577186,0.5443616774433617,0.5443616774433617,,
V235,numeric,0.7791343516103905,False,False,0.07619366563521275,0.5442023382254164,0.5442023382254164,,
V276,numeric,0.7791343516103905,False,False,0.009680710491207794,0.5441320043328127,0.5441320043328127,,
V290,numeric,2.0320384732617603e-05,False,False,0.040148936417534406,0.543986566251013,0.543986566251013,,
V184,numeric,0.7632353439225116,False,False,0.12139441667120238,0.5437886295996294,0.5437886295996294,,
V238,numeric,0.7605310393876791,False,False,0.11751178294587739,0.5426354278924805,0.5426354278924805,,
V307,numeric,2.0320384732617603e-05,False,False,0.005948114008690997,0.5418826568826487,0.5418826568826487,,
id_05,numeric,0.7682375452975243,False,False,-0.007978411819556932,0.5415157892115455,0.5415157892115455,,
V123,numeric,0.0005317167338368274,False,False,0.13822165473301326,0.540679069193739,0.540679069193739,,
V125,numeric,0.0005317167338368274,False,False,0.11199901952861813,0.5404222197785732,0.5404222197785732,,
